name,url,typ,stadt,aktiv
Aachen in via Familienbildung,https://www.familienbildung-aachen.de/programm/eltern-kind-angebote,Eltern-Kind-Angebote,Aachen,1
Haus für Familien - evangelische Familienbildung Aachen,https://www.hausfuerfamilien-aachen.de/programm/zeit-mit-kindern,Eltern-Kind-Angebote,Aachen,1
Helen-Weber-Haus,https://www.heleneweberhaus.de/rubrik_familienleben/,Familienleben,Aachen,1
Gesundheitszentrum Treffpunkt Luise - Luisenhospital Aachen,https://www.treffpunkt-luise.de/programm/babys-kleinkinder-kinder,Programm,Aachen,1
Kinder in Bewegung Aachen,https://www.kiba-aachen.de/kinderkurse/,Kinderkurse,Aachen,1
Kinder in Bewegung ,https://www.kiba-aachen.de/ferienfreizeiten/,Ferienfreizeiten,Aachen,1
Volkshochschule Nordkreis Aachen,https://www.vhs-nordkreis-aachen.de/programm/kategorie/Eltern-Kind-Programm/52,Programm,Aachen,1
Musikschule Brand,https://www.musikschule-brand.de/musikalische-frueherziehung/eltern-kind-kurse/,Eltern-Kind-Kurse,Aachen - Brand,1
Katholische Kirche Bistum Aachen,https://www.bistum-aachen.de/region-heinsberg/aktuell/nachrichten-buero/a-blog/Eltern-Baby---Eltern-Kind-Kurse-ab-August-2024/,Eltern-Kind-Kurse,"Geilenkirchen, Heinsberg, Jüchen, Korschenbroich",1
Simones Beratung - Klein Kinder. eltern. stärken,https://simonis-beratung.de,Eltern-Kind-Kurse,Aachen,1
BabySteps - mehr als nur ein Babykurs!,https://www.marienhospital.de/de/prävention/kursprogramm/eltern-kind-kurse/babysteps-mehr-als-nur-ein-babykurs,Elter-Kind-Kurse,Aachen,1
Klingwiese,https://klingwiese.de/musikschule-aachen-kurse/,Eltern-Kind-Kurse,Aachen,1
Madame Dubidus Musikstunde,https://www.madamedubidu.com/kurse/,Eltern-Kind-Kurse,Aachen,1
RWTH Aachen,https://www.rwth-aachen.de/cms/root/wir/Profil/Familiengerechte-Hochschule/~zvs/Eltern-Kind-Gruppen/,Eltern-Kind-Kurse,Aachen,1
PTSV Aachen,https://sportverein-aachen.de/sportart/eltern-kind-turnen/,Eltern-Kind-Kurse,Aachen,1
TV Eintracht Mützenich,https://www.tv-muetzenich.de/abteilungen/turnen/eltern-kind-turnen/,Eltern-Kind-Kurse,Monschau,1
TV Konzen,https://tv-konzen.de/turnen/eltern-kind-turnen/,Eltern-Kind-Kurse,Monschau,1
TV Konzen,https://tv-konzen.de/turnen/kinderturnen/,Kindergarten,Monschau,1
KingKalli,https://kingkalli.de/events/,Veranstaltungskalender,Aachen,1
